,Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
2738293,ATL,SHV,"Atlanta, GA","Shreveport, LA",130,141,1,552,2003-01-01,4673146,376825,33.6366996765137,-84.4281005859375,32.4466018676758,-93.8255996704102
2738473,MSY,SHV,"New Orleans, LA","Shreveport, LA",790,1672,88,271,2003-11-01,1312039,376825,29.9934005737305,-90.2580032348633,32.4466018676758,-93.8255996704102
2738474,SAT,SHV,"San Antonio, TX","Shreveport, LA",0,0,1,341,2003-06-01,1808267,376825,29.5337009429932,-98.4698028564453,32.4466018676758,-93.8255996704102
2738507,MIA,SHV,"Miami, FL","Shreveport, LA",116,245,1,937,2003-06-01,10561342,376825,25.7931995391846,-80.2906036376953,32.4466018676758,-93.8255996704102
2738586,DAY,SHV,"Dayton, OH","Shreveport, LA",0,0,1,743,2003-09-01,845508,376825,39.902400970459,-84.2193984985352,32.4466018676758,-93.8255996704102
2738671,LGA,SHV,"New York, NY","Shreveport, LA",106,129,1,1245,2003-11-01,37342640,376825,40.77719879,-73.87259674,32.4466018676758,-93.8255996704102
2738801,HOU,SHV,"Houston, TX","Shreveport, LA",0,162,1,211,2004-09-01,5190444,379457,29.64539909,-95.27890015,32.4466018676758,-93.8255996704102
2738935,DSM,SHV,"Des Moines, IA","Shreveport, LA",111,122,1,627,2004-12-01,511589,379457,41.5340003967285,-93.6631011962891,32.4466018676758,-93.8255996704102
2738977,CVG,SHV,"Cincinnati, OH","Shreveport, LA",154,173,1,686,2004-12-01,2083905,379457,39.0488014221,-84.6678009033,32.4466018676758,-93.8255996704102
2739319,TUS,BAD,"Tucson, AZ","Shreveport, LA",0,120,1,1010,2004-03-01,924205,379457,32.1161003112793,-110.94100189209,32.5018005371,-93.6626968384
2739438,AFW,SHV,"Dallas, TX","Shreveport, LA",0,0,16,207,2005-04-01,11632814,381444,32.9875984192,-97.3188018799,32.4466018676758,-93.8255996704102
2739896,FWA,SHV,"Fort Wayne, IN","Shreveport, LA",0,0,1,758,2005-08-01,402638,381444,40.97850037,-85.19509888,32.4466018676758,-93.8255996704102
2740091,DAY,SHV,"Dayton, OH","Shreveport, LA",0,0,1,743,2006-06-01,841558,387166,39.902400970459,-84.2193984985352,32.4466018676758,-93.8255996704102
2740112,DFW,SHV,"Dallas, TX","Shreveport, LA",129,136,1,190,2006-08-01,11998822,387166,32.896800994873,-97.0380020141602,32.4466018676758,-93.8255996704102
2740125,LRD,SHV,"Laredo, TX","Shreveport, LA",0,0,3,477,2006-05-01,225985,387166,27.5438003540039,-99.4616012573242,32.4466018676758,-93.8255996704102
2740131,LBB,SHV,"Lubbock, TX","Shreveport, LA",0,0,1,471,2006-01-01,266327,387166,33.6636009216309,-101.822998046875,32.4466018676758,-93.8255996704102
2740184,MEM,SHV,"Memphis, TN","Shreveport, LA",0,0,34,285,2006-05-01,1280666,387166,35.0424003601074,-89.9766998291016,32.4466018676758,-93.8255996704102
2740222,ROC,SHV,"Rochester, NY","Shreveport, LA",0,0,1,1147,2006-06-01,1031458,387166,43.1189002990723,-77.6724014282227,32.4466018676758,-93.8255996704102
2740438,BTR,SHV,"Baton Rouge, LA","Shreveport, LA",273,300,2,206,2006-10-01,764799,387166,30.53319931,-91.14959717,32.4466018676758,-93.8255996704102
2740618,DFW,SHV,"Dallas, TX","Shreveport, LA",2984,4850,97,190,2007-06-01,12313304,387662,32.896800994873,-97.0380020141602,32.4466018676758,-93.8255996704102
